company,latest_exit_date,deal_type,hq_location
Berbix,24-Feb-2023,Merger/Acquisition,"""Sacramento, CA"""
BeReal,11-Jun-2024,Merger/Acquisition,"""Paris, France"""
Berkshire Grey,22-Jul-2021,Reverse Merger,"""Bedford, MA"""
Bet.Works,28-May-2021,Merger/Acquisition,"""Las Vegas, NV"""
Betting Hero,27-Jun-2024,Merger/Acquisition,"""Rockford, MI"""
Betty Labs,30-Mar-2021,Merger/Acquisition,"""Los Angeles, CA"""
BeyondPlay,31-May-2024,Merger/Acquisition,"""London, United Kingdom"""
Big Swig,30-Sep-2021,Merger/Acquisition,"""Cedar Park, TX"""
Biim Ultrasound,08-Mar-2022,Merger/Acquisition,"""Narvik, Norway"""
Billie (Personal Products),29-Nov-2021,Merger/Acquisition,"""New York, NY"""
Biognosys,03-Jan-2023,Merger/Acquisition,"""Zurich, Switzerland"""
BioLegend,17-Sep-2021,Merger/Acquisition,"""San Diego, CA"""
BIOLIE,14-Feb-2025,Merger/Acquisition,"""Vandoeuvre-les-Nancy, France"""
Biomodex,11-Dec-2023,Merger/Acquisition,"""Paris, France"""
Bionic (Business/Productivity Software),28-Sep-2023,Merger/Acquisition,"""Palo Alto, CA"""
Bioniz Therapeutics,14-Feb-2022,Merger/Acquisition,"""Irvine, CA"""
Bionos Biotech,06-Oct-2023,Merger/Acquisition,"""Valencia, Spain"""
BioPhero,19-Jul-2022,Merger/Acquisition,"""Copenhagen, Denmark"""
BioRez,09-Aug-2022,Merger/Acquisition,"""New Haven, CT"""
BioStrand (Other Healthcare Technology Systems),14-Apr-2022,Merger/Acquisition,"""Diepenbeek, Belgium"""
BioSymetrics,08-Apr-2025,Merger/Acquisition,"""New York, NY"""
BioTech Foods,09-May-2022,Merger/Acquisition,"""San Sebastian, Spain"""
Bipi,16-Jul-2021,Merger/Acquisition,"""Madrid, Spain"""
Bird Canada,03-Jan-2023,Merger/Acquisition,"""Toronto, Canada"""
Bird Global,05-Nov-2021,Reverse Merger,"""West Hollywood, CA"""
Bird Office,30-May-2022,Merger/Acquisition,"""Paris, France"""
Bird Rock Bio,18-Aug-2023,Merger/Acquisition,"""La Jolla, CA"""
Bison Trails,18-Jan-2021,Merger/Acquisition,"""New York, NY"""
Bit Discovery,01-Jun-2022,Merger/Acquisition,"""Santa Clara, CA"""
Bitstamp,02-Jun-2025,Merger/Acquisition,"""London, United Kingdom"""
BiVictrix Therapeutics,11-Aug-2021,IPO,"""Alderley Edge, United Kingdom"""
Bizdirect,01-Jun-2021,Merger/Acquisition,"""Lisbon, Portugal"""
BizSecure,12-Feb-2022,Merger/Acquisition,"""San Diego, CA"""
Blackbird (Business/Productivity Software),08-Jun-2021,Merger/Acquisition,"""Oakland, CA"""
