company,latest_exit_date,deal_type,hq_location,founding_date,source,confidence,notes
Audigent,04-Dec-2024,Merger/Acquisition,"""New York, NY""",,,,
Augmenta,13-Mar-2023,Merger/Acquisition,"""Paris, France""",,,,
Augmented Pixels,13-Jan-2022,Merger/Acquisition,"""Palo Alto, CA""",,,,
Aura Biosciences (NAS: AURA),02-Nov-2021,IPO,"""Cambridge, MA""",,,,
Auth0,03-May-2021,Merger/Acquisition,"""Bellevue, WA""",,,,
Autifony Therapeutics,14-Nov-2023,Merger/Acquisition,"""Stevenage, United Kingdom""",,,,
AUTO1 Group (FRA: AG1),04-Feb-2021,IPO,"""Berlin, Germany""",,,,
AutoNation Mobile Service,26-Jan-2023,Merger/Acquisition,"""Fort Lauderdale, FL""",,,,
Autonomix (NAS: AMIX),26-Jan-2024,IPO,"""The Woodlands, TX""",,,,
AV Cannabis,01-Apr-2021,Merger/Acquisition,"""Toronto, Canada""",,,,
Ava Security,03-Mar-2022,Merger/Acquisition,"""London, United Kingdom""",,,,
Avafin,11-Nov-2024,Merger/Acquisition,"""Limassol, Cyprus""",,,,
AvaLAN Wireless,19-Apr-2021,Merger/Acquisition,"""Madison, AL""",,,,
Avalun,30-Apr-2021,Merger/Acquisition,"""Grenoble, France""",,,,
AVAX One Technology (NAS: AVX),08-Jul-2021,IPO,"""Vancouver, Canada""",,,,
AVEO Oncology,19-Jan-2023,Merger/Acquisition,"""Boston, MA""",,,,
Avinode,22-Mar-2024,Merger/Acquisition,"""Gothenburg, Sweden""",,,,
Avitide,30-Sep-2021,Merger/Acquisition,"""Lebanon, NH""",,,,
Aviva Links,24-Oct-2025,Merger/Acquisition,"""San Jose, CA""",,,,
Aviwest,01-Apr-2022,Merger/Acquisition,"""Saint Gr�goire Cedex, France""",,,,
Awakn Life Sciences,27-May-2025,Merger/Acquisition,"""Toronto, Canada""",,,,
Awashop,05-May-2022,Merger/Acquisition,"""Montpellier, France""",,,,
Axign,03-Jan-2024,Merger/Acquisition,"""Enschede, Netherlands""",,,,
Axil (Acquired / merged),16-Jun-2022,Merger/Acquisition,"""American Fork, UT""",,,,
Axios,08-Aug-2022,Merger/Acquisition,"""Arlington, VA""",,,,
Axis Security,15-Mar-2023,Merger/Acquisition,"""Plano, TX""",,,,
Axon Clinic,04-Oct-2021,Merger/Acquisition,"""Oslo, Norway""",,,,
Axonics,15-Nov-2024,Merger/Acquisition,"""Irvine, CA""",,,,
Azerion Group (AMS: AZRN),02-Feb-2022,Reverse Merger,"""Amsterdam, Netherlands""",,,,
Azimo,04-Apr-2022,Merger/Acquisition,"""London, United Kingdom""",,,,
Azitra (ASE: AZTR),15-Jun-2023,IPO,"""Branford, CT""",,,,
BA Insight,22-Feb-2022,Merger/Acquisition,"""Austin, TX""",,,,
Babel Health,25-Mar-2022,Merger/Acquisition,"""Pittsburgh, PA""",,,,
